,name,owner
0,elvicunense,Red de Diarios Comunales
1,elovallino,Antonio Puga
2,elboyaldia,Asesorias e Inversiones Comunidades Ciudadanas
3,cooperativa,Fundacion para las Comunicaciones Sociales
4,canal_13c,Inversiones Canal 13
5,33temuco,Unknown
6,diariodeaysen,Sociedad Periodistica de Aysen
7,austral_osorno,El Mercurio
8,radioportalesv,Radio Portales Valparaiso
9,t13,Inversiones Canal 13
10,diarioelcomunal,Red de Diarios Comunales
11,sabrosia,Betazeta Networks
12,bolido_com,Betazeta Networks
13,hoyxhoycl,El Mercurio
14,40chileoficial,Grupo Prisa
15,el_bulnensino,Unknown
16,radiobravissima,Unknown
17,radiovalparaiso,Comunicaciones Pacifico
18,el_timeline,Unknown
19,tvcontivision,Television Contivision 
20,cosmochile,Editorial Televisa Chile
21,chilebcl,Unknown
22,uchileradio,Universidad de Chile
23,radiosignos,Comunicaciones y Produccion Mauricio Javier Vidal Guerra
24,platosycopas,ByC Comunicaciones
25,mt_motores,Copesa
26,primordialfm,Sociedad Radiodifusora Primordial FM
27,ucv_tv,Corporacion de Television de la Pontificia Universidad Catolica de Valparaiso
28,vallenardigital,Unknown
29,radionuble,Vaccaro Collao Hermanos y Cia
30,radiozero977,Copesa
31,elrepuertero,Asesorias e Inversiones Comunidades Ciudadanas
32,soysanantonio,El Mercurio
33,tusnoticias_cl,Unknown
34,radioeme,Camilo Montalban Araneda
35,antofagastatv,CNC Inversiones
36,fmpluschile,CNC Inversiones
37,radiosolchile,Universidad Catolica del Norte
38,candela_fm,Grupo Bethia
39,cappissima,Compania Comunicaciones Cappissima
40,alfaomegacurico,Alfaomega Ingenieria y Comunicaciones
41,rsbchile,Red de Radios San Bartolome
42,krishnafmantofa,Unknown
43,el_serenense,Red de Diarios Comunales
44,radiomaxima_fm,Medios de Diaz y Compania
45,eldia_cl,Antonio Puga
46,elperiodicocl,Unknown
47,revistatu_chile,Editorial Televisa Chile
48,radiolasnieves,Empresa Periodistica y Radiodifusora Las Nieves
49,tvbiobio,Grupo Mosciatti
50,soytome,El Mercurio
51,diarioafta,Unknown
52,gamba_cl,Unknown
53,revista_somos,Publicaciones Austral
54,elrancaguino,Sociedad Informativa Regional
55,emol,El Mercurio
56,tvangol,Radio Polar
57,eldefinido,Comercial y Asesoria DIME
58,patagondomingo,Sociedad el Patagon Domingo
59,nuevamujer,Grupo Metro Internacional
60,dlibertador,Editora El Libertador
61,soycalama,El Mercurio
62,redarica,Grupo Diarios en Red
63,edicionpuntocl,Unknown
64,ultimahoracl,Unknown
65,elhurtadino,Red de Diarios Comunales
66,diariosenred,Grupo Diarios en Red
67,aricaldia,Unknown
68,radiocarnavalfm,Medios de Sociedad Jose Enrique Gaete y Compania
69,radio_festival,Radio Festival
70,red_coquimbo,Grupo Diarios en Red
71,ellanquihue,El Mercurio
72,revistamensaje,La Compania de Jesus
73,elperiodista,Medios de El Periodista
74,tribunac,Unknown
75,eldesconcierto,Medios de Ediciones y Publicaciones El Buen Aire
76,redantofagasta,Grupo Diarios en Red
77,maulee,Portales Regionales
78,mass_noticias,Agencia Mass Noticias
79,zonapublimetro,Grupo Metro Internacional
80,ferias_libres,Confederacion Gremial Nacional de Organizaciones de Ferias Libres
81,en_pantalla_cl,Unknown
82,laredtv,Grupo Albavision
83,buenasaludchile,XYZ Editora
84,soyantofagasta,El Mercurio
85,tvu_television,Universidad de Concepcion
86,radiocontigofm,Sociedad de Inversiones y Telecomunicaciones Vaccaro y Cia.
87,laestrellavalpo,El Mercurio
88,misanfelipe,Unknown
89,lacuarta,Copesa
90,haciendoriqueza,Sonia Saavedra Sanchez
91,redaraucania,Grupo Diarios en Red
92,prensaantartica,Unknown
93,radiopaulafm,Copesa
94,laestrellaiqq,El Mercurio
95,serenaycoquimbo,Unknown
96,puentealto_pald,Unknown
97,laregiondiario,Medios de Sociedad Periodistica Guayacan Cia
98,lanalhue,Unknown
99,chilemosaico,Unknown
100,liz_try,Unknown
101,el_amaule,Asesorias e Inversiones Comunidades Ciudadanas
102,revistaqp,Copesa
103,estrellaconce,El Mercurio
104,futurafmoficial,Sociedad Radiodifusora y Periodistica del Maule
105,radiofmtiempo,Grupo Bezanilla
106,iquiquetv,Medios de Luis Flores Cabezas Producciones Televisivas y Eventos
107,ddivisadero,Sociedad Editora y Periodistica La Verdad
108,verticetv,Medios de Vertice Comunicaciones
109,soycopiapo,El Mercurio
110,belelu,Betazeta Networks
111,estrella_toco,El Mercurio
112,norteminero_cl,El Mercurio
113,diariolabrador,Sociedad Periodistica e Impresora El Labrador
114,rmuyinteresante,Editorial Televisa Chile
115,elepicentro,Medios de Consorcio Periodistico El Epicentro
116,revistacapital,Cristalerias de Chile / Electro Metalurgica
117,acuerdoscl,Casa de la Paz
118,montecarlocl,Sociedad Radiodifusora Montecarlo
119,biobiotv,Grupo Mosciatti
120,putaendoinforma,Patricio Gallardo Montenegro
121,elmontepatrino,Red de Diarios Comunales
122,rsumen,Unknown
123,radiousach,Universidad de Santiago
124,latercera,Copesa
125,laperladelimari,Red de Diarios Comunales
126,radiouniverso,Fundacion para las Comunicaciones Sociales
127,veoverde,Betazeta Networks
128,prensatuciudad,Tu Ciudad Virtual
129,fmok,Comunicaciones Mia
130,elmostrador,La Plaza
131,radiopolar,Organizacion Comercial Radio Polar
132,soyosorno,El Mercurio
133,deportesarica,Unknown
134,clave9cl,Unknown
135,elvileno,Red de Diarios Comunales
136,radiox_valdivia,El Conquistador FM
137,elnaveghable,Asesorias e Inversiones Comunidades Ciudadanas
138,diarioatacama,El Mercurio
139,rockandpop,Grupo Prisa
140,nacioncl,Comunicaciones LANET
141,girovisualtv,CNN Chile
142,ferplei,Betazeta Networks
143,el_salamanquino,Red de Diarios Comunales
144,radioorocoipo,Radiodifusora Jara Carrasco 
145,mundoacuicola,Sociedad Medios Comunicaciones
146,congresofm,Comunicaciones Eugenio Gonzalez E.I.R.L.
147,sonarfm,Inversiones Canal 13
148,soypuertomontt,El Mercurio
149,diarioelpilin,Unknown
150,laciudad,Sociedad Radiodifusora Alborada
151,soychillan,El Mercurio
152,pucontv,Arcaya y Arcaya Producciones
153,quillotadigital,Unknown
154,terrachile,Terra Networks Chile
155,rnuevomundo,Partido Comunista de Chile
156,sitiocero,Unknown
157,radiomaray,Sociedad Comercial Latorre y Zlatar
158,revista_paula,Copesa
159,biobiodeportivo,Unknown
160,radiobuenanueva,Sociedad Radio Buena Nueva 
161,diarioelcoqbano,Red de Diarios Comunales
162,antofacity_com,Unknown
163,caribefm,Edna Cristel Fernandez Sanchez
164,desiertofm,Unknown
165,radioquellon,Servicios de Radio Difusion Pedro Felidor Roa Barrientos 
166,losriosdeporte,Unknown
167,radiorancagua,Unknown
168,elmagallanews,Asesorias e Inversiones Comunidades Ciudadanas
169,latribunacl,Sociedad Nacional de Agricultura
170,radio_camila,Sociedad Radiodifusora Gomez Cerda y Cia.
171,somosmelipilla,Unknown
172,la_segunda,El Mercurio
173,chilevision,CNN Chile
174,rectvcanal13,Inversiones Canal 13
175,la7talca,Unknown
176,soyvalparaiso,El Mercurio
177,soyconcepcion,El Mercurio
178,cnnchile,CNN Chile
179,soyvaldiviacl,El Mercurio
180,diariopenquista,Unknown
181,viax,Television Interactiva (TVI)
182,elpunitaquino,Red de Diarios Comunales
183,elobservatodo,Asesorias e Inversiones Comunidades Ciudadanas
184,inettvdigital,Sociedad Inet Television Digital
185,lamegafm_iquiqu,Unknown
186,radioisadorafm,Unknown
187,s_schwartzmann,Salvador Schwartzmann
188,radiopaulina,Nunez y Compania
189,elmuro_digital,Polibio-Ideas SPA
190,estrelladearica,El Mercurio
191,radiocorazonfm,Grupo Prisa
192,redmaule,Grupo Diarios en Red
193,diarioenaccion,Unknown
194,serpadreschile,Editorial Televisa Chile
195,elcomunicadorcl,Unknown
196,diarioelmarino,El Marino
197,wayerless,Betazeta Networks
198,contemporaneafm,Medios de Sociedad Jose Enrique Gaete y Compania
199,diariolahora,Copesa
200,pinguinodiario,Patagonica Publicaciones
201,armoniaonline,Sociedad de Difusion Armonia 
202,fmdos,Grupo Prisa
203,aconcaguanews,Unknown
204,elpaihuanino,Red de Diarios Comunales
205,radionostalgica,Servicios de Publicidad y Comunicaciones Punto Creativo
206,radioelquina,Municipalidad de Vicuna
207,diario_eha,Unknown
208,caraschile,Editorial Televisa Chile
209,diarioovallehoy,Sociedad Periodistica Banic y Lancellotti
210,americaeconomia,America Economia Media Group
211,estrellachiloe,El Mercurio
212,ciudadinvisible,Unknown
213,quintavision,Oliver y Compania
214,elandacollino,Red de Diarios Comunales
215,transmediachile,Unknown
216,informarte,Unknown
217,ccauqueninocom,Unknown
218,portalohiggins,Unknown
219,cambio21cl,Sociedad Periodistica Cambio 
220,adnradiochile,Grupo Prisa
221,elquintopoder,Fundacion Democracia y Desarrollo
222,concordia_arica,Unknown
223,digitalfmchile,El Mercurio
224,diarioelhuemul,Unknown
225,ahoranoticiasan,Grupo Bethia
226,soyiquique,El Mercurio
227,glamoramacl,Copesa
228,diarioelnortino,Unknown
229,realcondorito,Editorial Televisa Chile
230,agriculturafm,Publicaciones y Difusion
231,revistacosas,Editorial Tiempo Presente 
232,soyquillota,El Mercurio
233,niubie_com,Betazeta Networks
234,tele13_radio,Inversiones Canal 13
235,prensaenlinea6,Unknown
236,elaconcagua,Marcelo Jara Olivares
237,ancoafm,Radio Ancoa de Linares
238,estrella_loa,El Mercurio
239,revistamujerlt,Copesa
240,pulso_tw,Copesa
241,itvnoticias,ITV Patagonia
242,infinitafm,Grupo Bezanilla
243,24horastvn,Estado de Chile
244,redbiobio,Grupo Diarios en Red
245,elsurcl,El Mercurio
246,lun,El Mercurio
247,radiouvm,Universidad Vina del Mar
248,soycoronel,El Mercurio
249,radiobeethoven,Copesa
250,radiomariachile,Corporacion Radio Maria
251,punto9,Unknown
252,mega,Grupo Bethia
253,mqltv,Producciones y Asesorias Gou Infotaiment
254,redlosrios,Grupo Diarios en Red
255,womenshealthcl,Editorial Televisa Chile
256,elquiglobal,CEPT Comunicaciones
257,revatacamaviva,Gestion y Comunicaciones San Lorenzo
258,cesar_maturana,Cesar Maturana
259,biobio,Grupo Mosciatti
